pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
8.7,9.8,530,10.9,0
8.5,8.8,470,9.7,0
8.6,9.1,460,10.9,0
7,9.7,475,17.5,1
8.8,9.9,510,16.1,0
7.8,10.5,450,12.9,0
7.5,9.7,450,15.4,1
7.6,10.1,470,14.2,0
8.5,11,410,17.2,0
8.4,7.3,280,14.3,0
7.8,8.2,290,15.1,1
8,11.7,300,17,0
8,8.9,320,15.4,1
8.1,10.8,325,12.4,0
8.3,10.9,340,10.8,0
8.1,11.3,380,11.1,0
7.8,9.5,430,14.7,1
8.2,9,320,12.4,0
7.8,9.8,345,11.5,1
7.6,8.4,340,11.9,1
8.9,9.4,345,14.9,0
7.8,9,310,14.4,1
7.6,10.7,360,16.7,0
7.6,10.4,360,10.1,0
7.7,11.2,320,10.6,0
7.9,10.7,460,15.7,0
7.9,8.8,450,17,1
7.9,9.75,460,12.7,1
7.9,9.7,470,14.3,1
8,10,500,15.3,1
7.3,7.9,560,13.8,1
7.8,8.4,480,10,1
7.5,9.9,460,11.1,1
8,10.6,335,11.7,0
7.9,12.4,370,21.1,0
8.2,11.4,350,10.8,0
7.9,9.8,470,10.6,1
7.8,11.9,490,11.7,0
7.5,10.1,475,13.3,0
8.3,9.6,470,22.2,0
7.7,8.4,450,16.7,1
7.8,8.2,450,14,1
7.3,9.2,500,11,1
7.8,13.1,460,11,0
7.4,10.9,450,11,0
7.7,10,470,10,1
8.4,8.2,380,14,0
7.9,9.1,280,13.5,1
7.8,8.9,290,13,1
7.9,8.3,300,14,1
7.9,11,325,19.5,0
7.9,11,315,17.5,0
8.4,10.7,330,21.5,0
8,10.3,380,24,0
8.1,6.9,440,28.5,0
7.9,7.6,340,24.3,1
7.6,9.3,350,13.5,1
8.4,7.9,340,12.2,0
8.4,9.4,340,12.2,0
8.3,9.9,310,13.9,0
7.4,10.3,360,9.4,0
7.9,12.2,360,4.4,0
7.2,11,320,10,0
8.5,9.9,515,10,0
7.4,7.6,650,5,1
7.7,9.2,385,8.3,1
8,9,422,11.1,1
7.5,8.6,206,6.1,1
7.8,9.7,304,10,1
8.4,10.5,308,11.1,0
8.1,10.1,256,10,0
8.1,10.8,275,11.7,0
8.5,9.8,280,11.1,0
8,9.5,242,10,1
7.9,7,222,11.7,1
8.3,8.9,347,9.4,0
8.3,10.3,278,15.6,0
7.9,8.5,375,13.3,1
7.7,9.7,503,15.6,1
7.6,10,404,14.4,1
8.2,12,358,23.3,0
7.8,9.2,412,17.8,1
8.3,10.3,322,22.2,0
7.5,15,350,21.1,0
7.9,10.2,340,21.7,0
8.4,8.9,350,23.3,0
8.8,10,332,8.9,0
8.5,9.7,353,12.2,0
8.8,8.5,346,12.2,0
8.3,8.1,466,15,0
8.3,8.4,484,19.4,0
7.4,9.7,569,17.8,1
8.4,11.4,503,22.2,0
7.4,12.4,319,25.6,0
7.6,13.6,288,21.1,0
7.2,8.2,253,22.2,1
8.2,8.2,185,17.8,0
7.7,9.6,490,10,1
8,9.4,545,8.9,1
8,9.7,300,12.8,1
7.8,10.1,275,14.4,0
8.3,8.4,235,15.6,0
8,9.4,440,15,1
8.7,9,460,21.1,0
8,10.4,480,21.1,0
8.9,10.9,350,22.2,0
8.3,10.1,360,11.2,0
8.8,10.5,525,11.2,0
7.7,10.4,610,12.1,0
7.6,9.1,725,13.2,1
7.4,8.4,725,12.7,1
8.8,8.2,400,11.4,0
7.9,8.8,380,15.5,1
8.5,10.4,590,17.1,0
8.4,9.1,400,19.2,0
8.3,11,260,17.8,0
8.3,9.7,490,18.2,0
8.8,9,495,16.7,0
8.5,9.5,360,16.8,0
8.6,9.5,345,16.8,0
7.8,11.1,280,16.7,0
7.8,9.2,425,16.7,1
8.5,9.6,370,18.3,0
8,8.4,395,18.3,1
8.5,9.2,425,16.2,0
8.1,9.2,390,15.9,0
8.4,7.7,290,15.9,0
8.3,8.9,195,17.9,0
8.3,8.6,180,17.9,0
9,8.2,330,18.5,0
8.7,8.5,320,18.5,0
8.3,8.6,335,17.9,0
8.7,9.2,405,17.9,0
8.5,9.3,415,18.2,0
8.5,8.5,310,17.3,0
8.2,9.3,315,17.3,0
8.4,9,340,18.4,0
8.3,9.1,325,18.4,0
8.3,9.1,320,17.9,0
7.7,9.2,310,20.2,1
7.9,9.7,305,20.2,1
8.4,9.3,300,24.1,0
8.3,9.2,300,24.1,0
8,8.5,300,24.1,1
8.3,9.3,290,24.1,0
8.2,9.2,300,21.3,0
8.5,9.4,330,21.3,0
8,10.8,280,23.1,0
8.6,8.2,380,23.1,0
8.3,9.6,355,23.7,0
7.8,9.2,340,23.7,1
7.5,8.6,310,24.2,1
8.5,9.1,310,22.8,0
8.8,8.6,310,20.5,0
8.2,8.5,310,20.2,0
7.9,10.6,305,22.5,0
8.2,9.5,310,21.4,0
7.8,10.5,303,21.5,0
8.3,10.1,340,20.7,0
8.5,10.1,360,20.3,0
8.5,9.4,330,21.2,0
8.7,9.2,335,22.5,0
8.9,9.9,330,20.7,0
8.9,10.4,315,19.3,0
8.9,10.4,275,19.7,0
8.8,12.1,295,21.7,0
8.9,9.5,330,18,0
8.8,8.8,295,19.1,0
8.8,9.9,295,16.4,0
8.6,11.3,300,15.3,0
8.5,10.5,308,15,0
8.7,9.8,13700,15.6,0
8.5,10.2,13866,22.8,0
8.5,11.3,7697,21.1,0
8.8,10.1,3277,19.4,0
8.5,12.3,9888,21.1,0
7.8,12.3,19.873,18.3,0
8.2,10.5,7649,23.3,0
8.8,10.4,9796,20,0
8.3,8.8,249,22.2,0
8.3,10.6,231,21.7,0
8.5,10.6,259,25.6,0
8.2,10.3,256,21.1,0
8.5,10.3,286,21.1,0
8.6,10.7,230.9,21.7,0
8.6,9.9,250,18.9,0
8.6,11.3,419,22.8,0
8.5,9.4,588,17.8,0
8.7,9.6,694.6,20,0
8.6,9.1,341,6.7,0
8.6,8.7,371.4,10.6,0
8.3,9.9,356,17.8,0
8.4,9.9,302.6,13.9,0
8.4,9.8,303.2,20.6,0
8.2,10.8,294,21.1,0
8.7,9.9,181.7,20,0
8.3,10.2,303.7,20,0
7.9,9.6,206.5,21.1,1
8.2,10.2,215.5,20.6,0
8.8,11.8,185,18.3,0
8.2,10.8,185.2,12.8,0
8.2,11.9,264.8,7.2,0
8.4,11.7,188,20.6,0
8.6,11.5,197.1,22.8,0
8.1,11.3,207,10,0
8.2,9.9,244.9,23.3,0
8.6,11.6,345,20,0
8.4,11.5,312,22.8,0
8.3,11.1,359,25.6,0
8.7,11.1,593,18.9,0
8.4,10.3,518,24.4,0
8.4,10.4,508,22.8,0
8.1,11.3,407,25.6,0
8.7,11.4,323,21.1,0
8,11.2,445,21.1,0
8.5,10.5,445,21.1,0
8.2,10.6,300,18.9,0
8.4,11.6,285,22.2,0
8.4,11.6,258,17.8,0
8.7,10.6,118,21.7,0
8.7,10.7,265,19.4,0
8.3,9.6,235,20,0
8.3,10.3,310,25.6,0
8.4,10.1,460,23.3,0
8,9.9,450,22.7,1
8.2,8.9,390,18.4,0
8.6,8.9,250,19.3,0
8.7,9.7,440,21,0
8.2,8.5,345,18.2,0
8.2,8.8,270,18.6,0
8.6,8.8,395,16.7,0
8.4,8.7,240,23.2,0
8.3,9.6,587,23.7,0
7.9,9.9,540,23.3,1
8.5,9.4,518,23.8,0
8,9.9,508,17,1
8.9,9.6,566,14.8,0
8,10.7,582,10.6,0
8.2,10.2,720,10.1,0
8.1,10.2,833,15.7,0
7.8,9.3,796,21.2,1
8.4,10.1,7.32,23.6,0
8.4,10.4,606,20.7,0
8.2,11.1,550,22.7,0
8.1,11.1,605,16.8,0
8.1,11.9,612,12.1,0
8.4,10.4,665,10.6,0
8.7,9.6,901,11.2,0
8.7,10.8,783,13.3,0
8.5,8.9,775,15.2,0
8.1,11.9,274,16.1,0
8.6,11.4,290,18.6,0
8.4,11.6,220,22.2,0
8.4,10.6,313,21.5,0
8.3,9.8,554,17.7,0
8.2,10.9,467,15.6,0
8.5,10.3,867,9.2,0
8.4,10.4,884,11.4,0
8.5,10.2,867,13.3,0
9.1,10.2,894,15.4,0
8.1,10.1,653,15.7,0
8.1,9.3,613,17.1,0
8.2,9.9,588,23.3,0
8.2,10.3,479,24.4,0
9.1,10.1,479,23.1,0
8.2,10.2,379,18.7,0
8.3,10.4,281,10.4,0
7.9,10.7,471,10.5,0
7.8,9.9,267,19.2,1
7.9,9.8,251,22.4,1
8.1,10.8,242,19.8,0
8.2,10.1,259,22.7,0
8.7,10.2,361,19.4,0
8.4,10.2,367,18.5,0
8.5,9.5,557,12.3,0
8.6,9.4,559,15.6,0
7.6,10.2,589,16.6,0
8.6,11.4,637,23.1,0
8.6,9.1,702,23,0
8.5,9.3,719,20.5,0
8.3,9.5,702,17.2,0
7.8,9.3,644,10,1
8.8,9.2,714,10.7,0
8.2,8.9,613,11.8,0
7.8,9.9,672,14.3,1
7.8,9.5,664,15.6,1
8.6,10.1,755,17.6,0
8.6,8.9,795,21.1,0
8,8.6,845,23.2,1
8.2,9.6,631,23.1,0
7.8,8.9,658,21.8,1
8.5,8.9,822,19.6,0
8.4,9.9,858,10.2,0
8.5,9.4,606,9.7,0
8.3,9.3,645,11.4,0
8.6,9.2,777,18.4,0
8.7,10.2,715,15,0
8.7,9.6,563,18.3,0
8.7,10.4,356,23.1,0
8.5,9.5,360,24.8,0
7.9,9.4,316,24.7,1
8.3,8.6,308,22.5,0
8.9,11.3,243,17.6,0
8.8,10.7,254,14.7,0
8.3,10.1,269,11.9,0
8.7,10.6,250,9.7,0
8.2,10.1,302,12.2,0
8.3,10.2,318,17.5,0
8.6,10.9,456,16.2,0
9.1,12.3,909,18.5,0
8.5,12.3,952,22.2,0
8.1,12.4,816,27.3,0
8.1,9.1,387,23.2,0
8.3,9.2,261,21.1,0
8.4,8.8,270,18.6,0
8.8,8.6,277,15.9,0
8.7,8.9,297,10.8,0
8.6,9.5,428,10.5,0
8.9,9.6,447,13.8,0
8.6,9.2,447,10.5,0
8.6,10.5,278,14.6,0
8.6,9.8,310,20.5,0
8.5,10.3,425,19.9,0
7.7,10.4,548,23.8,0
8.4,9.4,594,24.8,0
8.6,9.4,663,24.2,0
8.5,9.3,465,28,0
8.4,9.6,731,30,0
8.1,9.3,731,27.4,0
8.5,9.4,862,25,0
8.7,9.5,667,24.1,0
8.9,8.9,652,24.4,0
7.5,9.3,616,24,1
8.8,9.4,598,22.1,0
8.8,10.4,414,17.3,0
8.8,10.4,481,13.7,0
8.7,11.2,481,10.4,0
8,10.4,309,6.4,0
8.3,10.5,309,12.2,0
8.1,9.1,301,16.8,0
8.2,10.5,292,16.4,0
8.4,8.5,320,16.3,0
8.3,10.1,276,15.5,0
8.6,8.3,268,14.9,0
7.9,9.3,330,16.5,1
8.3,8.5,374,14.9,0
8.2,6.5,707,17.5,0
8.2,9.1,693,19.1,0
7.9,8.4,681,18.8,1
8.1,8.4,594,18.8,0
7.8,8.9,619,21.8,1
8.5,9.8,627,23.7,0
7.7,8.7,380,27.8,1
7.6,8.3,323,23.2,1
7.6,8.5,292,24.3,1
8.7,8.5,275,23.7,0
8.3,9.3,249,23,0
7.9,9.3,268,24.5,1
7.9,8.4,486,25.2,1
8.1,8.6,533,25.1,0
9,7.6,705,27,0
8.5,8.2,343,20.7,0
8.4,7.4,541,18,0
8.3,7.4,585,16.2,0
9,8.4,334,10.2,0
8.7,8.1,658,9.4,0
8.7,7.3,432,10,0
8.8,7.2,211,13.7,0
7.8,8.3,249,15.7,1
8.9,7.9,614,15.5,0
7.8,9.4,500,15.3,1
7.9,10.1,420,15.2,0
7.9,9.7,308,16.1,1
8,9.9,288,21.3,1
8.7,9.6,279,20.6,0
8.8,8.9,337,25.8,0
8.8,8.9,323,23.5,0
8.3,8.8,349,24.4,0
7.7,10.6,183,24.4,0
7.6,10.5,396,24.2,0
7.5,9.1,99,22.9,1
8.1,8.9,127,24,0
7.6,9.1,535,21.6,1
8.7,8.2,590,21.6,0
8,9.2,589,20.2,1
8,9.1,599,20.8,1
7.9,9.1,622,20.6,1
8.4,8.7,704,15.8,0
8.5,8.4,635,15.8,0
8.1,8.1,413,16.2,0
8,8.5,410,16.8,1
8.3,8.1,314,10.2,0
7.8,8.1,296,9.9,1
7.8,7.9,317,13.7,1
7.7,8.5,253,13,1
8.3,8.9,327,13.8,0
7.8,9.4,274,14.2,1
8.3,8.9,690,14.3,0
7.9,9,607,16.2,1
7.8,9.1,154,16.2,1
7.9,9.3,168,16.2,1
7.7,8.2,192,19.5,1
7.8,8.9,428,20.5,1
7.7,9.9,407,22.1,1
7.7,9.1,455,24.2,1
7.9,9.1,421,24.2,1
7.7,9.1,440,19.5,1
7.8,9.1,491,20.1,1
7.8,9.4,569,20.2,1
8.3,9.3,679,18.8,0
8,9.5,641,20.1,1
7.6,9.7,601,20.3,1
7.9,9.7,109,19.5,1
7.6,9.6,712,22.9,1
7.8,9.5,656,25.8,1
7.7,9.4,636,23.3,1
7.7,9.7,741,23.3,1
8.1,9.4,417,24.3,0
8.6,9.9,267,23.9,0
8.6,9.6,251,21.4,0
8.5,9.4,231,23.1,0
8.7,9.4,214,25.4,0
8.7,9.2,237,23.8,0
7.9,9.2,267,20.4,1
7.8,9.3,256,21.6,1
8.6,6.1,539,17.3,0
8,10.6,512,19,0
8.3,10.3,546,19.1,0
8.3,6.4,537,17,0
8.3,9.2,602,9.2,0
8.4,9.1,369,13.6,0
8.2,7.6,257,13.1,0
8.4,8.7,232,12.6,0
8.5,6.5,240,12.6,0
8.5,8.1,257,13.4,0
8.1,7.4,264,13.4,0
7.4,8.1,370,13.1,1
7.7,8.3,439,13.1,1
9.3,9.3,438,16.1,0
8.4,8.8,313,15.5,0
7.7,8.7,276,14,1
8.2,9.3,298,14.2,0
8.2,9.3,82,14.9,0
7.7,9.3,222,16.9,1
7.7,9.1,105,17,1
8.2,9.1,208,17.5,0
7.5,9.9,372,17.7,1
7.5,9.9,213,16.7,1
8.5,9.6,124,15.8,0
8.3,10.1,149,16.4,0
8.5,10.1,448,18.9,0
7.6,10.3,582,24,0
8.2,10.3,434,23.3,0
8.7,9.7,573,23.7,0
8.5,10.1,652,25.3,0
8.6,8.4,800,23.9,0
8.3,7.9,723,23.4,0
9.2,9.9,187,22.7,0
8.9,9.4,484,21.9,0
7.9,9.1,579,22.2,1
8.2,9.2,659,23.1,0
8.8,9.2,682,21.1,0
8.8,8.9,183,19.3,0
8.5,9.1,189,19.3,0
8.7,9.1,166,19.4,0
8.2,9.4,130,12.1,0
8.7,10.2,150,13.9,0
8.5,9.1,175,15.5,0
8.5,9.9,176,15.5,0
8.8,10.3,140,15.4,0
8.1,9.3,157,14.1,0
8.1,10.1,160,17.3,0
8.3,8.6,156,15.7,0
8.3,9.2,181,17.4,0
8.3,9.3,205,19,0
8.5,9.9,177,16.2,0
8.5,8.5,182,16.1,0
8.6,9.4,164,16.4,0
9.2,8.9,147,17.1,0
9.3,8.9,137,20.1,0
8.5,8.7,152,19.5,0
8.3,9.4,148,19.4,0
8,9.9,159,22.5,1
8.8,9.9,151,22.2,0
9,8.5,121,22.1,0
9.8,9.3,163,23.9,0
9.4,8.7,159,23.9,0
8.6,8.8,146,23.8,0
8.8,8.9,150,23.9,0
8.8,9.1,160,23.9,0
8.8,9.6,164,21.7,0
8.8,10.1,201,19.5,0
8.7,8.8,276,20.9,0
9,8.7,267,21.1,0
8.6,8.7,256,20.1,0
8,8.7,166,17,1
8.7,8.3,167,12.1,0
9,8.3,148,13.2,0
8.5,8.8,152,13.5,0
9.4,9.6,146,13.8,0
8.3,10.1,552,13.3,0
9.1,8.5,611,14.9,0
10.3,6,537,21.4,0
9.7,8.6,600,21.2,0
9.4,10.6,576,21.5,0
8.6,9.6,692,20.7,0
8.2,11.8,869,23.6,0
8.2,6.8,740,23.7,0
8.9,7.6,551,21.9,0
8.7,7.6,556,20.8,0
8.9,9.2,791,23.9,0
8.7,9.3,755,22.6,0
8.7,10.1,679,23.6,0
9.6,7.5,680,24.9,0
8.8,7.3,640,26.1,0
8.6,7.3,623,23.1,0
8.5,7.9,561,20.4,0
8.6,7.2,543,21.9,0
8.6,7,542,21.9,0
8,8.6,500,22.4,1
8.4,10,507,20.6,0
8.7,9.7,528,19.7,0
8.9,8.4,1009,17,0
8.5,8.6,668,17.6,0
8.1,7.3,560,12.8,0
8,8.6,510,9.6,1
7,8.2,527,6.9,1
8.1,6.7,540,11.2,0
7.6,10,467,13.5,1
7.6,8.7,495,13.5,1
7.2,9.9,498,18.1,1
8,10.8,528,18.1,0
7.9,7.4,552,15.6,1
7.9,8.8,561,17.9,1
7.17,9.3,563,17.2,1
8.27,5.5,539,17.1,0
7.75,3.7,528,20.5,0
7.72,12.1,553,20.7,0
8.5,9.3,172,19.8,0
8.1,10,174,20.4,0
6.1,6.8,185,20.1,0
7.6,13.5,119,21.5,0
7.3,7.1,113,21.8,1
7.2,6,113,20.7,1
7.5,6.6,117,24.9,1
7.7,14.5,132,24.7,0
7.4,7.4,139,24.1,1
7.2,6.6,148,22.8,1
8,5.7,154,23.1,1
7.8,7.9,152,25.7,1
8,10.2,139,25.8,0
8,6,125,22.9,1
8,4.3,134,21.4,0
8.4,17,122,20.7,0
8.2,8.2,120,19.4,0
8.2,3,123,17.6,0
8.8,8.2,121,19.1,0
8.2,11.2,129,18.2,0
7.8,11,133,15.5,0
8.9,8.6,143,15.4,0
9,17.5,136,13.8,0
8.5,11.1,106,8.2,0
8.5,6.7,132,9.8,0
8.3,11.5,134,13.5,0
8.2,11.4,125,16.7,0
8.2,11.5,140,16.5,0
8.3,11.2,149,17.9,0
8.9,10.8,157,18.8,0
8,11,164,18.7,0
8.1,8.5,169,17.3,0
8.1,9.6,176,20.3,0
7.8,10.2,166,18.3,0
8.2,14,148,18.3,0
8,17,141,18.3,0
7.7,10.8,136,19.3,0
8.7,12,136,20.2,0
8.4,11.3,132,20.1,0
7.8,11.5,171,20.3,0
8,13.5,175,21.4,0
8.9,7.4,184,22.4,0
8.9,7.8,128,23.1,0
8.2,7.5,114,23.1,0
9,7.3,122,22.7,0
8.3,6.3,116,22.8,0
7.2,9.5,140,22.3,1
8,11,140,21.1,0
8,10.9,146,23.2,0
8.4,10.8,155,23.2,0
8.2,10.1,151,21.4,0
7.9,7.7,143,21.3,1
8.4,8.9,143,20,0
8.4,6.3,141,20.1,0
8.4,6.8,138,19.3,0
8.4,6.3,132,19.5,0
8.4,8.1,137,14.4,0
8.3,8,122,12.5,0
8.2,9,129,10.9,0
8.3,9.6,133,14.1,0
8.3,11.9,144,15.6,0
8.3,9.5,140,17.1,0
8.2,7,109,17.1,0
8.2,7.9,141,17.9,0
8.3,6.7,136,16.8,0
8.3,7.5,128,17.2,0
8.2,8.6,143,16.2,0
8.1,8.2,149,15.6,0
7.5,10.4,156,18.2,0
8.2,9.6,165,20.5,0
8.2,8.6,183,21,0
7.8,11,187,21.1,0
8.2,11.6,198,21.9,0
8,13.3,168,22.4,0
8,10.6,148,21.6,0
8.2,8.6,139,21.2,0
8.3,9.1,139,21.2,0
8.1,8.2,139,22.8,0
8.1,9.7,1826,23.1,0
8.1,9.9,1891,20.7,0
7.8,9.1,1356,21.6,1
8.2,12.5,884,20.9,0
8.2,13.3,1097,19.8,0
8.2,10.2,889,20.7,0
8.1,9,1059,19.9,0
8,10.6,1391,20,0
7.8,7.9,641,12.9,1
7.4,8.3,528,9.8,1
7.9,7.5,465,11.4,1
7.4,7.1,991,14.9,1
7.6,10.2,568,14.8,0
7.3,10.4,1060,18.3,0
7,12.4,711,18.3,0
7.6,10.9,899,18.4,0
7.8,11.2,965,18.5,0
7.4,10.1,728,20.1,0
7.6,9.4,862,20.1,1
7.7,6.9,721,25,1
7.7,9.1,605,22.6,1
7.4,7.3,485,22.6,1
7.9,8.4,511,23.3,1
