pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
7.9,8.7,545,5.9,1
7.7,8,320,6.7,1
7.7,7.8,350,6.3,1
6.7,8.8,500,7.2,1
8.6,9.4,450,8.3,0
7,9.3,440,9.5,1
7.8,10.1,340,12.8,0
7.4,8.5,400,12.4,1
7.9,10.5,430,11.7,0
7.6,11.4,390,12.3,0
7.2,9.8,410,13.6,1
7.6,10,400,12.5,1
7.1,8.8,400,13.9,1
7.2,8.8,230,14.5,1
6.6,9.7,170,15.6,1
7.9,9.4,340,15.9,1
7.9,10.1,293,16.2,0
7.7,8,295,18.9,1
7.7,9.5,295,18,1
8,6.9,450,19,1
7,8.5,500,16.8,1
7.6,8.5,335,18.4,1
7.5,8.5,335,21.6,1
8,7.7,280,19.2,1
8,8.1,290,19.9,1
8,8,440,17.2,1
7.6,8.6,430,20.5,1
7.6,8,540,21.2,1
7.4,8.5,500,23,1
8.5,7.2,360,22.6,0
7.1,7.5,280,23.8,1
8.1,6.6,500,23,0
8.2,7,500,23.8,0
7.6,7,445,21.5,1
7.7,7.9,500,19,1
7.7,10.2,555,20.1,0
7.4,9.8,320,18.8,1
7.7,11.2,400,18.8,0
7.1,10.5,560,19.7,0
8.2,11.5,460,15.1,0
7.1,10.4,430,15.4,0
7.9,11.4,340,15.4,0
7,11.8,400,14.3,0
7.5,9.2,400,11.8,1
7.4,10.6,420,10,0
7.9,8.9,410,8.6,1
7.3,9.1,370,10.6,1
8.2,9.7,360,9,0
7.8,10.5,240,9.5,0
7.6,8.3,190,9.8,1
7.6,8.6,335,12.1,1
7.8,7,300,10.2,1
7.6,8,305,9.6,1
7.3,6.6,300,9.4,1
8.2,7.4,430,9.7,0
7.2,8.1,440,10,1
8.1,7,435,11.9,0
8.2,8,435,7.8,0
8.2,6.7,480,10.4,0
8.1,8.7,245,8.4,0
8,7.2,255,9,1
8.2,8,360,9.7,0
7.9,8.3,420,10,1
8.6,7.6,500,11.5,0
7.7,8.4,450,10.8,1
7.9,7.9,320,10.4,1
7.7,7.4,320,11.6,1
7.8,7.2,380,11.6,1
7.8,9.1,580,10.6,1
7.9,8.9,570,11,1
7.1,10.8,500,11.4,0
7.6,9.4,590,12.3,1
7.3,11.4,540,11.3,0
8.1,9.8,540,10.6,0
7.8,9.8,340,11.1,1
7.8,9.2,400,11.2,1
8.5,9.6,470,11.5,0
7,8.6,440,14.3,1
8.6,10.7,410,15,0
8.6,7.2,400,16.7,0
7.6,9,400,15.2,1
7.4,8.5,420,15,1
7.7,6.6,400,14.1,1
7.8,10.7,380,15,0
8.2,8.6,380,14.8,0
7.4,8,410,14.7,1
7.7,8,240,15.2,1
7.6,7.1,190,18.1,1
7.6,6.1,330,17.6,1
7.8,7.5,300,18.3,1
7.9,8.2,300,16,1
7.8,7.2,350,18.2,1
7.7,7.4,450,19.5,1
7.6,7.2,445,20.4,1
7.3,4.7,410,22.5,0
8,6.7,405,24.5,1
8.2,7.2,400,24,0
7.5,9.1,480,23,1
7.3,9.2,430,24.2,1
7.1,8.1,430,25.9,1
7.5,10.2,380,25.2,0
8.1,9,315,22.9,0
7.6,10.4,390,24.5,0
7.4,9.1,410,22.7,1
7.5,9.1,368,22.7,1
8,8.4,335,24,1
7.6,10.7,310,20.3,0
